key_id,key,operation,pX,pY,LR,state,delta,time_diff,time_since_beginning,press_to_press,release_to_press,hold_time
1,u,1,0,0,0,1,0,0,0,0,0,92
2,s,1,0,0,0,1,0,0,0,0,0,158
3,e,1,0,0,0,1,0,0,0,0,0,126
4,r,1,0,0,0,1,0,0,0,0,0,109
5,1,1,0,0,0,1,0,0,0,0,0,126
6,p,1,0,0,0,1,0,0,0,0,0,101
7,a,1,0,0,0,1,0,0,0,0,0,92
8,s,1,0,0,0,1,0,0,0,0,0,59
9,s,1,0,0,0,1,0,0,0,0,0,57
10,w,1,0,0,0,1,0,0,0,0,0,93
11,o,1,0,0,0,1,0,0,0,0,0,91
12,r,1,0,0,0,1,0,0,0,0,0,85
13,d,1,0,0,0,1,0,0,0,0,0,92
14,1,1,0,0,0,1,0,0,0,0,0,100
15,2,1,0,0,0,1,0,0,0,0,0,109
16,3,1,0,0,0,1,0,0,0,0,0,92
1,u,1,0,0,0,1,0,0,0,0,0,83
2,s,1,0,0,0,1,0,0,0,0,0,90
3,e,1,0,0,0,1,0,0,0,0,0,100
4,r,1,0,0,0,1,0,0,0,0,0,76
5,1,1,0,0,0,1,0,0,0,0,0,103
6,p,1,0,0,0,1,0,0,0,0,0,100
7,a,1,0,0,0,1,0,0,0,0,0,100
8,s,1,0,0,0,1,0,0,0,0,0,67
9,s,1,0,0,0,1,0,0,0,0,0,67
10,w,1,0,0,0,1,0,0,0,0,0,92
11,o,1,0,0,0,1,0,0,0,0,0,91
12,r,1,0,0,0,1,0,0,0,0,0,109
13,d,1,0,0,0,1,0,0,0,0,0,100
14,1,1,0,0,0,1,0,0,0,0,0,99
15,2,1,0,0,0,1,0,0,0,0,0,66
16,3,1,0,0,0,1,0,0,0,0,0,49
1,u,1,0,0,0,1,0,0,0,0,0,83
2,s,1,0,0,0,1,0,0,0,0,0,99
3,e,1,0,0,0,1,0,0,0,0,0,117
4,r,1,0,0,0,1,0,0,0,0,0,76
5,1,1,0,0,0,1,0,0,0,0,0,84
6,p,1,0,0,0,1,0,0,0,0,0,117
7,a,1,0,0,0,1,0,0,0,0,0,84
8,s,1,0,0,0,1,0,0,0,0,0,67
9,s,1,0,0,0,1,0,0,0,0,0,66
10,w,1,0,0,0,1,0,0,0,0,0,92
11,o,1,0,0,0,1,0,0,0,0,0,74
12,r,1,0,0,0,1,0,0,0,0,0,77
13,d,1,0,0,0,1,0,0,0,0,0,83
14,1,1,0,0,0,1,0,0,0,0,0,109
15,2,1,0,0,0,1,0,0,0,0,0,93
16,3,1,0,0,0,1,0,0,0,0,0,82
1,u,1,0,0,0,1,0,0,0,0,0,84
2,s,1,0,0,0,1,0,0,0,0,0,109
3,e,1,0,0,0,1,0,0,0,0,0,93
4,r,1,0,0,0,1,0,0,0,0,0,78
5,1,1,0,0,0,1,0,0,0,0,0,109
6,p,1,0,0,0,1,0,0,0,0,0,101
7,a,1,0,0,0,1,0,0,0,0,0,91
8,s,1,0,0,0,1,0,0,0,0,0,58
9,s,1,0,0,0,1,0,0,0,0,0,50
10,w,1,0,0,0,1,0,0,0,0,0,109
11,o,1,0,0,0,1,0,0,0,0,0,91
12,r,1,0,0,0,1,0,0,0,0,0,84
13,d,1,0,0,0,1,0,0,0,0,0,82
14,1,1,0,0,0,1,0,0,0,0,0,116
15,2,1,0,0,0,1,0,0,0,0,0,99
16,3,1,0,0,0,1,0,0,0,0,0,84
1,u,1,0,0,0,1,0,0,0,0,0,83
2,s,1,0,0,0,1,0,0,0,0,0,92
3,e,1,0,0,0,1,0,0,0,0,0,98
4,r,1,0,0,0,1,0,0,0,0,0,83
5,1,1,0,0,0,1,0,0,0,0,0,109
6,p,1,0,0,0,1,0,0,0,0,0,101
7,a,1,0,0,0,1,0,0,0,0,0,92
8,s,1,0,0,0,1,0,0,0,0,0,58
9,s,1,0,0,0,1,0,0,0,0,0,92
10,w,1,0,0,0,1,0,0,0,0,0,91
11,o,1,0,0,0,1,0,0,0,0,0,92
12,r,1,0,0,0,1,0,0,0,0,0,66
13,d,1,0,0,0,1,0,0,0,0,0,101
14,1,1,0,0,0,1,0,0,0,0,0,100
15,2,1,0,0,0,1,0,0,0,0,0,99
16,3,1,0,0,0,1,0,0,0,0,0,108
1,u,1,0,0,0,1,0,0,0,0,0,99
2,s,1,0,0,0,1,0,0,0,0,0,109
3,e,1,0,0,0,1,0,0,0,0,0,100
4,r,1,0,0,0,1,0,0,0,0,0,83
5,1,1,0,0,0,1,0,0,0,0,0,134
6,p,1,0,0,0,1,0,0,0,0,0,107
7,a,1,0,0,0,1,0,0,0,0,0,108
8,s,1,0,0,0,1,0,0,0,0,0,74
9,s,1,0,0,0,1,0,0,0,0,0,67
10,w,1,0,0,0,1,0,0,0,0,0,100
11,o,1,0,0,0,1,0,0,0,0,0,91
12,r,1,0,0,0,1,0,0,0,0,0,117
13,d,1,0,0,0,1,0,0,0,0,0,118
14,1,1,0,0,0,1,0,0,0,0,0,117
15,2,1,0,0,0,1,0,0,0,0,0,100
16,3,1,0,0,0,1,0,0,0,0,0,117
1,u,1,0,0,0,1,0,0,0,0,0,102
2,s,1,0,0,0,1,0,0,0,0,0,135
3,e,1,0,0,0,1,0,0,0,0,0,109
4,r,1,0,0,0,1,0,0,0,0,0,83
5,1,1,0,0,0,1,0,0,0,0,0,117
6,p,1,0,0,0,1,0,0,0,0,0,100
7,a,1,0,0,0,1,0,0,0,0,0,100
